factor,icir,residual_icir
x_adx_240min_1,0.005657513517543175,0.034663506751307825
x_rsi14_240min_1,0.09820463276235859,0.033786157141012664
x_vol_ratio_10_30_240min_1,0.10916837400241297,0.030979476952517706
x_rvi_8slot,0.1905041765068898,0.030570272633002216
x_trend_break2_8slot_1,0.037794398412936664,0.028976001592173128
x_sharpe_240min_1,0.04910839890671441,0.027659138936960388
x_turnover_x_1,0.1978939639027195,0.025672451441683647
x_vwap_pv_1,0.19797755337203918,0.02562006282891161
x_price_delta_8slot_1,0.2196430408481468,0.024500476508745688
x_bvwap_8slot,0.8172677752686546,0.024226365314176632
x_atr_240min_1,0.4970622606619906,0.023365056831727245
x_adx_240min,0.008793377165219314,0.02097896159592509
x_sharpe_240min,0.01706271586490507,0.019888349933816447
x_kurtosis_8slot_1,0.06196707676429295,0.016742045276854172
x_realized_vol_8slot_1,0.14089858523953205,0.01653384330063931
x_atr_240min,0.4931309129612359,0.014456450606439606
x_volatility_8slot_1,0.14178087020920654,0.013685803016775112
x_klinger_240min_1,0.0321713518348472,0.013279291560354942
x_chaikin_osc_240min_1,0.04131812154953535,0.012569082668927659
x_donchian_pos_8slot,0.11259425378847027,0.01242804160757847
x_spread_12h_1,,0.011951198273404021
x_ad_240min_1,0.07438788016167477,0.00967450661512355
x_stoch_d_240min,0.06646957740457886,0.008850095953970441
x_break_position_8slot,0.2932947771701095,0.008478332839888471
x_williams_r_8slot,0.3277278773125007,0.006994101370712518
x_buy_vol,0.10157516147372071,0.006193809432878589
x_return_1_240min,0.3337580303882376,0.004976936311646927
x_vwap_slope_240min,0.10716717030689214,0.004698716187580662
x_stoch_d_240min_1,0.08060046913692086,0.00430966989199349
x_spread_1h_1,,0.004267662688447351
x_chaikin_osc_240min,0.08391057291642473,0.004149538301513135
x_trend_8slot,0.3003463623208336,0.00401752567833441
x_log_return_1_240min,0.3337580303882376,0.0033446237096532495
x_spread_1h,,0.002825470599665879
x_effort_vs_result_8slot_1,0.20390034153760045,0.002460336026862829
x_klinger_240min,0.03307444436714077,0.0019295013184958164
x_delta_1,0.20398289272333117,0.001834437718267748
x_mom20_240min_1,0.04231011908464015,0.0013322631102469196
x_vol_mom_8slot,0.1622852493094274,0.0007136009748417133
